county_name,median_household_income,zip code tabulation area
ZCTA5 02210,179643,02210
ZCTA5 02215,64138,02215
ZCTA5 02301,70837,02301
ZCTA5 02302,80702,02302
ZCTA5 02322,125000,02322
ZCTA5 02324,110625,02324
ZCTA5 02325,22500,02325
ZCTA5 02330,69629,02330
ZCTA5 02332,148505,02332
ZCTA5 02333,122693,02333
ZCTA5 02338,110763,02338
ZCTA5 02339,163613,02339
ZCTA5 02341,117708,02341
ZCTA5 02343,96741,02343
ZCTA5 02346,89290,02346
ZCTA5 02347,119712,02347
ZCTA5 02350,82344,02350
ZCTA5 02351,120535,02351
ZCTA5 02356,116875,02356
ZCTA5 02357,-666666666,02357
ZCTA5 02359,140052,02359
ZCTA5 02360,107067,02360
ZCTA5 02364,111490,02364
ZCTA5 02366,-666666666,02366
ZCTA5 02367,108958,02367
ZCTA5 02368,95207,02368
ZCTA5 02370,98295,02370
ZCTA5 02375,117695,02375
ZCTA5 02379,120414,02379
ZCTA5 02382,101088,02382
ZCTA5 02420,221458,02420
ZCTA5 02421,200294,02421
ZCTA5 02445,132970,02445
ZCTA5 02446,116644,02446
ZCTA5 02451,117932,02451
ZCTA5 02452,106674,02452
ZCTA5 02453,111294,02453
ZCTA5 02457,-666666666,02457
ZCTA5 02458,133936,02458
ZCTA5 02459,210785,02459
ZCTA5 02460,149000,02460
ZCTA5 02461,191711,02461
ZCTA5 02462,136375,02462
ZCTA5 02464,126346,02464
ZCTA5 02465,178333,02465
ZCTA5 02466,144934,02466
ZCTA5 02467,171250,02467
ZCTA5 02468,250001,02468
ZCTA5 02472,117584,02472
ZCTA5 02474,134169,02474
ZCTA5 02476,138959,02476
ZCTA5 02478,164720,02478
ZCTA5 02481,250001,02481
ZCTA5 02482,230625,02482
ZCTA5 02492,207844,02492
ZCTA5 02493,250001,02493
ZCTA5 02494,203690,02494
ZCTA5 02532,82782,02532
ZCTA5 02534,163053,02534
ZCTA5 02535,135750,02535
ZCTA5 02536,89132,02536
ZCTA5 02537,126763,02537
ZCTA5 02538,103198,02538
ZCTA5 02539,79127,02539
ZCTA5 02540,85117,02540
ZCTA5 02542,49250,02542
ZCTA5 02543,83629,02543
ZCTA5 02553,-666666666,02553
ZCTA5 02554,136887,02554
ZCTA5 02556,129787,02556
ZCTA5 02557,92022,02557
ZCTA5 02558,72586,02558
ZCTA5 02559,93116,02559
ZCTA5 02561,88060,02561
ZCTA5 02562,114770,02562
ZCTA5 02563,118550,02563
ZCTA5 02564,-666666666,02564
ZCTA5 02568,77078,02568
ZCTA5 02571,82591,02571
ZCTA5 02575,124622,02575
ZCTA5 02576,59978,02576
ZCTA5 02584,-666666666,02584
ZCTA5 02601,63432,02601
ZCTA5 02630,135735,02630
ZCTA5 02631,96133,02631
ZCTA5 02632,114936,02632
ZCTA5 02633,91974,02633
ZCTA5 02635,94844,02635
ZCTA5 02637,207878,02637
ZCTA5 02638,105639,02638
ZCTA5 02639,57679,02639
ZCTA5 02641,-666666666,02641
ZCTA5 02642,80167,02642
ZCTA5 02643,-666666666,02643
ZCTA5 02644,119779,02644
ZCTA5 02645,84693,02645
ZCTA5 02646,70980,02646
ZCTA5 02647,-666666666,02647
ZCTA5 02648,130177,02648
ZCTA5 02649,90465,02649
ZCTA5 02650,61276,02650
ZCTA5 02652,-666666666,02652
ZCTA5 02653,89375,02653
ZCTA5 02655,95563,02655
ZCTA5 02657,91447,02657
ZCTA5 02659,72969,02659
ZCTA5 02660,85963,02660
ZCTA5 02663,-666666666,02663
ZCTA5 02664,76448,02664
ZCTA5 02666,89333,02666
ZCTA5 02667,97438,02667
ZCTA5 02668,108651,02668
ZCTA5 02670,81250,02670
ZCTA5 02671,97865,02671
ZCTA5 02672,-666666666,02672
ZCTA5 02673,69167,02673
ZCTA5 02675,104741,02675
ZCTA5 02702,121060,02702
ZCTA5 02703,91458,02703
ZCTA5 02713,73125,02713
ZCTA5 02715,114899,02715
ZCTA5 02717,134948,02717
ZCTA5 02718,98848,02718
ZCTA5 02719,86676,02719
ZCTA5 02720,60076,02720
ZCTA5 02721,51958,02721
ZCTA5 02723,43579,02723
ZCTA5 02724,46120,02724
ZCTA5 02725,129235,02725
ZCTA5 02726,103508,02726
ZCTA5 02738,111351,02738
ZCTA5 02739,110179,02739
ZCTA5 02740,51599,02740
ZCTA5 02743,88273,02743
ZCTA5 02744,52290,02744
ZCTA5 02745,70338,02745
ZCTA5 02746,39545,02746
ZCTA5 02747,94831,02747
ZCTA5 02748,105108,02748
ZCTA5 02760,104360,02760
ZCTA5 02762,99720,02762
ZCTA5 02763,106667,02763
ZCTA5 02764,119545,02764
ZCTA5 02766,112284,02766
ZCTA5 02767,110573,02767
ZCTA5 02769,124306,02769
ZCTA5 02770,114313,02770
ZCTA5 02771,108479,02771
ZCTA5 02777,110975,02777
ZCTA5 02779,140000,02779
ZCTA5 02780,68948,02780
ZCTA5 02790,90691,02790
ZCTA5 02791,99490,02791
ZCTA5 02802,113056,02802
ZCTA5 02804,101211,02804
ZCTA5 02806,145028,02806
ZCTA5 02807,66652,02807
ZCTA5 02808,78214,02808
ZCTA5 02809,91382,02809
ZCTA5 02812,107188,02812
ZCTA5 02813,103182,02813
ZCTA5 02814,103605,02814
ZCTA5 02815,201500,02815
ZCTA5 02816,94026,02816
ZCTA5 02817,119137,02817
ZCTA5 02818,120219,02818
ZCTA5 02822,103289,02822
ZCTA5 02823,-666666666,02823
ZCTA5 02824,-666666666,02824
ZCTA5 02825,107653,02825
ZCTA5 02826,73491,02826
ZCTA5 02827,96401,02827
ZCTA5 02828,92340,02828
ZCTA5 02829,-666666666,02829
ZCTA5 02830,118790,02830
ZCTA5 02831,129122,02831
ZCTA5 02832,102643,02832
ZCTA5 02833,-666666666,02833
ZCTA5 02835,131875,02835
ZCTA5 02836,25658,02836
ZCTA5 02837,136389,02837
ZCTA5 02838,72278,02838
ZCTA5 02839,95154,02839
ZCTA5 02840,81307,02840
ZCTA5 02841,-666666666,02841
ZCTA5 02842,97555,02842
ZCTA5 02852,103764,02852
ZCTA5 02857,106250,02857
ZCTA5 02858,89960,02858
ZCTA5 02859,114726,02859
ZCTA5 02860,54462,02860
ZCTA5 02861,78977,02861
ZCTA5 02863,43092,02863
ZCTA5 02864,109746,02864
ZCTA5 02865,110639,02865
ZCTA5 02871,107360,02871
ZCTA5 02872,-666666666,02872
ZCTA5 02873,42266,02873
ZCTA5 02874,136473,02874
ZCTA5 02875,87076,02875
ZCTA5 02876,-666666666,02876
ZCTA5 02878,92444,02878
ZCTA5 02879,112409,02879
ZCTA5 02881,62829,02881
ZCTA5 02882,90507,02882
ZCTA5 02885,81575,02885
ZCTA5 02886,81788,02886
ZCTA5 02888,81505,02888
ZCTA5 02889,81226,02889
ZCTA5 02891,89243,02891
ZCTA5 02892,130875,02892
ZCTA5 02893,71851,02893
ZCTA5 02894,79130,02894
ZCTA5 02895,54483,02895
ZCTA5 02896,100669,02896
ZCTA5 02898,111167,02898
ZCTA5 02903,57850,02903
ZCTA5 02904,61853,02904
ZCTA5 02905,53668,02905
ZCTA5 02906,98563,02906
ZCTA5 02907,46010,02907
ZCTA5 02908,68268,02908
ZCTA5 02909,58085,02909
ZCTA5 02910,86709,02910
ZCTA5 02911,78115,02911
ZCTA5 02912,-666666666,02912
ZCTA5 02914,60343,02914
ZCTA5 02915,82546,02915
ZCTA5 02916,92602,02916
ZCTA5 02917,94531,02917
ZCTA5 02918,-666666666,02918
ZCTA5 02919,83408,02919
ZCTA5 02920,70076,02920
ZCTA5 02921,123066,02921
ZCTA5 03031,152796,03031
ZCTA5 03032,138750,03032
ZCTA5 03033,163628,03033
ZCTA5 03034,117500,03034
ZCTA5 03036,135326,03036
ZCTA5 03037,118606,03037
ZCTA5 03038,94655,03038
ZCTA5 03042,96558,03042
ZCTA5 03043,104500,03043
ZCTA5 03044,121583,03044
ZCTA5 03045,109452,03045
ZCTA5 03046,138036,03046
ZCTA5 03047,99583,03047
ZCTA5 03048,86914,03048
ZCTA5 03049,155339,03049
ZCTA5 03051,125216,03051
ZCTA5 03052,134000,03052
ZCTA5 03053,129571,03053
ZCTA5 03054,120730,03054
ZCTA5 03055,84912,03055
ZCTA5 03057,156389,03057
ZCTA5 03060,69452,03060
ZCTA5 03062,101433,03062
ZCTA5 03063,103466,03063
ZCTA5 03064,83780,03064
ZCTA5 03070,137813,03070
ZCTA5 03071,91824,03071
ZCTA5 03076,121875,03076
ZCTA5 03077,91520,03077
ZCTA5 03079,101856,03079
ZCTA5 03082,114107,03082
ZCTA5 03084,93194,03084
ZCTA5 03086,89113,03086
ZCTA5 03087,171563,03087
ZCTA5 03101,74146,03101
ZCTA5 03102,66064,03102
ZCTA5 03103,68344,03103
ZCTA5 03104,80018,03104
ZCTA5 03106,100711,03106
ZCTA5 03109,94818,03109
ZCTA5 03110,151850,03110
ZCTA5 03215,89276,03215
ZCTA5 03216,85909,03216
ZCTA5 03217,53367,03217
ZCTA5 03218,88188,03218
ZCTA5 03220,72642,03220
ZCTA5 03221,95104,03221
ZCTA5 03222,76497,03222
ZCTA5 03223,107500,03223
ZCTA5 03224,114167,03224
ZCTA5 03225,91111,03225
ZCTA5 03226,100192,03226
ZCTA5 03227,136371,03227
ZCTA5 03229,115682,03229
ZCTA5 03230,62500,03230
ZCTA5 03231,135625,03231
ZCTA5 03233,125968,03233
ZCTA5 03234,90805,03234
ZCTA5 03235,66997,03235
ZCTA5 03237,98542,03237
ZCTA5 03238,44398,03238
ZCTA5 03240,72500,03240
ZCTA5 03241,103750,03241
ZCTA5 03242,76681,03242
ZCTA5 03243,81136,03243
ZCTA5 03244,82647,03244
ZCTA5 03245,78500,03245
ZCTA5 03246,68024,03246
ZCTA5 03249,112522,03249
ZCTA5 03251,63813,03251
ZCTA5 03253,65490,03253
ZCTA5 03254,89728,03254
ZCTA5 03255,117500,03255
ZCTA5 03256,73456,03256
ZCTA5 03257,84891,03257
ZCTA5 03258,119028,03258
ZCTA5 03259,79375,03259
ZCTA5 03260,118304,03260
ZCTA5 03261,122294,03261
ZCTA5 03262,64928,03262
ZCTA5 03263,64564,03263
ZCTA5 03264,72025,03264
ZCTA5 03266,55833,03266
ZCTA5 03268,97731,03268
ZCTA5 03269,87530,03269
ZCTA5 03273,176103,03273
ZCTA5 03275,88475,03275
ZCTA5 03276,68898,03276
ZCTA5 03278,86806,03278
ZCTA5 03279,51793,03279
ZCTA5 03280,85000,03280
ZCTA5 03281,109779,03281
ZCTA5 03282,87143,03282
ZCTA5 03284,107614,03284
ZCTA5 03285,82593,03285
ZCTA5 03287,110917,03287
ZCTA5 03290,97035,03290
ZCTA5 03291,-666666666,03291
ZCTA5 03293,-666666666,03293
ZCTA5 03301,78394,03301
ZCTA5 03303,81992,03303
ZCTA5 03304,147951,03304
ZCTA5 03307,77473,03307
ZCTA5 03431,69848,03431
ZCTA5 03440,100833,03440
ZCTA5 03441,31750,03441
ZCTA5 03442,73519,03442
ZCTA5 03443,-666666666,03443
ZCTA5 03444,96516,03444
ZCTA5 03445,96750,03445
ZCTA5 03446,78451,03446
