tract_name,median_household_income,state_fips,county_fips,tract_code,year
Census Tract 108; Erie County; Pennsylvania,72299,42,049,010800,2022
Census Tract 109.02; Erie County; Pennsylvania,67697,42,049,010902,2022
Census Tract 109.03; Erie County; Pennsylvania,93058,42,049,010903,2022
Census Tract 109.04; Erie County; Pennsylvania,151964,42,049,010904,2022
Census Tract 110.01; Erie County; Pennsylvania,61250,42,049,011001,2022
Census Tract 110.02; Erie County; Pennsylvania,59059,42,049,011002,2022
Census Tract 111.01; Erie County; Pennsylvania,71629,42,049,011101,2022
Census Tract 111.02; Erie County; Pennsylvania,81184,42,049,011102,2022
Census Tract 112.01; Erie County; Pennsylvania,70833,42,049,011201,2022
Census Tract 112.02; Erie County; Pennsylvania,69577,42,049,011202,2022
Census Tract 113; Erie County; Pennsylvania,44417,42,049,011300,2022
Census Tract 114; Erie County; Pennsylvania,64375,42,049,011400,2022
Census Tract 115.03; Erie County; Pennsylvania,64327,42,049,011503,2022
Census Tract 115.08; Erie County; Pennsylvania,84367,42,049,011508,2022
Census Tract 115.09; Erie County; Pennsylvania,62849,42,049,011509,2022
Census Tract 115.10; Erie County; Pennsylvania,77361,42,049,011510,2022
Census Tract 115.11; Erie County; Pennsylvania,,42,049,011511,2022
Census Tract 116; Erie County; Pennsylvania,61643,42,049,011600,2022
Census Tract 117.01; Erie County; Pennsylvania,71417,42,049,011701,2022
Census Tract 117.02; Erie County; Pennsylvania,77306,42,049,011702,2022
Census Tract 118.01; Erie County; Pennsylvania,67008,42,049,011801,2022
Census Tract 118.02; Erie County; Pennsylvania,68170,42,049,011802,2022
Census Tract 119; Erie County; Pennsylvania,44138,42,049,011900,2022
Census Tract 120.01; Erie County; Pennsylvania,76875,42,049,012001,2022
Census Tract 120.02; Erie County; Pennsylvania,41764,42,049,012002,2022
Census Tract 121; Erie County; Pennsylvania,69012,42,049,012100,2022
Census Tract 122.01; Erie County; Pennsylvania,82765,42,049,012201,2022
Census Tract 122.02; Erie County; Pennsylvania,39102,42,049,012202,2022
Census Tract 124; Erie County; Pennsylvania,59091,42,049,012400,2022
Census Tract 1; Erie County; Pennsylvania,14846,42,049,000100,2023
Census Tract 2; Erie County; Pennsylvania,73333,42,049,000200,2023
Census Tract 3; Erie County; Pennsylvania,36235,42,049,000300,2023
Census Tract 4; Erie County; Pennsylvania,38750,42,049,000400,2023
Census Tract 5; Erie County; Pennsylvania,33547,42,049,000500,2023
Census Tract 6; Erie County; Pennsylvania,46679,42,049,000600,2023
Census Tract 7; Erie County; Pennsylvania,35161,42,049,000700,2023
Census Tract 8; Erie County; Pennsylvania,27917,42,049,000800,2023
Census Tract 9.01; Erie County; Pennsylvania,27243,42,049,000901,2023
Census Tract 9.02; Erie County; Pennsylvania,20721,42,049,000902,2023
Census Tract 10; Erie County; Pennsylvania,43750,42,049,001000,2023
Census Tract 11; Erie County; Pennsylvania,47000,42,049,001100,2023
Census Tract 12; Erie County; Pennsylvania,24747,42,049,001200,2023
Census Tract 13; Erie County; Pennsylvania,24911,42,049,001300,2023
Census Tract 14; Erie County; Pennsylvania,16435,42,049,001400,2023
Census Tract 15; Erie County; Pennsylvania,26650,42,049,001500,2023
Census Tract 16; Erie County; Pennsylvania,39397,42,049,001600,2023
Census Tract 17; Erie County; Pennsylvania,44657,42,049,001700,2023
Census Tract 18; Erie County; Pennsylvania,28426,42,049,001800,2023
Census Tract 19; Erie County; Pennsylvania,22050,42,049,001900,2023
Census Tract 20; Erie County; Pennsylvania,50839,42,049,002000,2023
Census Tract 21; Erie County; Pennsylvania,62972,42,049,002100,2023
