name,address,category,tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,shop_tag,brand,opening_hours,geocode_source,already_in_app
Red Apple Food Mart,"4702, West Ridge Road, Erie, PA, 16506",Convenience & Fuel,convenience,42.0720309,-80.1827541,156,163,175,7012098530,node,convenience,Red Apple Food Mart,,openstreetmap,False
Red Apple Food Mart,"7700, Peach Street, Erie, PA, 16509",Convenience & Fuel,convenience,42.0513194,-80.0847067,156,163,175,7570874290,node,convenience,Red Apple Food Mart,,openstreetmap,False
Red Apple Food Mart,"1588, East 38th Street, Erie, PA, 16510",Convenience & Fuel,convenience,42.1152049,-80.0329318,156,163,175,7590287851,node,convenience,Red Apple Food Mart,,openstreetmap,False
Red Apple Food Mart,"3360, West 38th Street, Erie, PA, 16506",Convenience & Fuel,convenience,42.0743229,-80.1431068,156,163,175,7593396492,node,convenience,Red Apple Food Mart,,openstreetmap,False
Red Apple Food Mart,"82, East Main Street, North East, PA, 16428",Convenience & Fuel,convenience,42.2176851,-79.8294963,156,163,175,8078003416,node,convenience,Red Apple Food Mart,,openstreetmap,False
Red Apple Food Mart,"3, Titusville Road, Union City, PA, 16438",Convenience & Fuel,convenience,41.8905367,-79.8474116,156,163,175,9116962303,node,convenience,Red Apple Food Mart,,openstreetmap,False
Red Apple Food Mart,,Convenience & Fuel,convenience,41.6534898,-80.1149797,156,163,175,609726885,way,convenience,Red Apple Food Mart,,openstreetmap,False
Red Apple Food Mart,,Convenience & Fuel,convenience,41.716367,-80.1476357,156,163,175,1127566081,way,convenience,Red Apple Food Mart,,openstreetmap,False
Rippers,"2402, Peach Street, Erie, PA, 16502",Full-Service,standard,42.1129396,-80.0762507,59,130,246,8349841414,node,supermarket,,,openstreetmap,False
Roberts Warehousing,"5501, Station Road, North East, PA, 16428",Big Box,bigbox,42.1913164,-79.8337608,139,92,246,8402389325,node,wholesale,,,openstreetmap,False
Ross,"2088, Interchange Road, Erie, PA, 16565",Big Box,bigbox,42.0665231,-80.1038755,139,92,246,7624280308,node,department_store,Ross,Mo-Th 10:00-21:30; Fr-Sa 09:30-22:00; Su 10:00-21:00,openstreetmap,False
