tract_code,county_fips,year,NAME,total_population,median_age,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,white_non_hispanic,black_alone,hispanic_latino,asian_alone,race_total
001900,049,2020,"Census Tract 19, Erie County, Pennsylvania",1596,57.3,81.1,15.1,3.3,0.0,0.5,1294,241,53,0,1596
002000,049,2020,"Census Tract 20, Erie County, Pennsylvania",3722,33.7,69.5,5.6,13.6,3.1,8.2,2588,209,508,117,3722
002100,049,2020,"Census Tract 21, Erie County, Pennsylvania",3959,41.3,88.3,6.9,3.7,0.3,0.8,3496,272,146,11,3959
002200,049,2020,"Census Tract 22, Erie County, Pennsylvania",4036,35.3,86.3,2.9,1.5,0.0,9.3,3484,119,60,1,4036
002300,049,2020,"Census Tract 23, Erie County, Pennsylvania",2454,39.3,84.4,7.0,1.9,2.4,4.3,2071,173,47,59,2454
002400,049,2020,"Census Tract 24, Erie County, Pennsylvania",2979,32.4,76.4,2.7,11.5,0.9,8.5,2276,79,344,27,2979
002500,049,2020,"Census Tract 25, Erie County, Pennsylvania",2612,30.9,59.6,26.1,1.9,0.7,11.7,1557,681,49,19,2612
002600,049,2020,"Census Tract 26, Erie County, Pennsylvania",4119,39.3,73.9,14.5,2.8,7.1,1.7,3043,598,116,292,4119
002700,049,2020,"Census Tract 27, Erie County, Pennsylvania",6568,37.8,76.6,9.6,12.2,0.4,1.2,5034,632,804,29,6568
002800,049,2020,"Census Tract 28, Erie County, Pennsylvania",6805,29.8,91.6,4.2,0.9,2.9,0.4,6235,289,61,197,6805
002900,049,2020,"Census Tract 29, Erie County, Pennsylvania",2888,48.5,95.8,2.3,0.3,0.6,1.0,2766,67,10,17,2888
003000,049,2020,"Census Tract 30, Erie County, Pennsylvania",4273,34.2,77.2,7.7,1.4,9.0,4.7,3298,331,58,385,4273
010101,049,2020,"Census Tract 101.01, Erie County, Pennsylvania",3294,44.9,92.8,0.5,0.7,0.8,5.2,3057,15,24,25,3294
010103,049,2020,"Census Tract 101.03, Erie County, Pennsylvania",1914,47.9,97.0,0.0,1.7,0.0,1.3,1857,0,33,0,1914
010104,049,2020,"Census Tract 101.04, Erie County, Pennsylvania",2459,46.7,94.6,1.6,1.7,0.4,1.7,2327,40,43,10,2459
