ZCTA5CE20,year,snap_participation_rate
04224,2020,20.5
04226,2020,16.9
04227,2020,13.3
04228,2020,
04231,2020,12.2
04234,2020,0.0
04236,2020,2.1
04237,2020,0.7
04238,2020,9.7
04239,2020,10.4
04240,2020,25.1
04250,2020,13.7
04252,2020,9.6
04253,2020,9.6
04254,2020,33.9
04255,2020,5.1
04256,2020,12.0
04257,2020,14.3
04258,2020,9.7
04259,2020,9.5
04260,2020,4.6
04261,2020,33.9
04263,2020,25.0
04265,2020,10.9
04267,2020,0.0
04268,2020,23.4
04270,2020,27.6
04271,2020,
04274,2020,15.7
04275,2020,37.1
04276,2020,21.2
04280,2020,11.9
04281,2020,13.8
04282,2020,10.0
04284,2020,4.5
04285,2020,4.9
04286,2020,
04287,2020,3.0
04289,2020,19.9
04290,2020,7.2
04292,2020,5.5
04294,2020,21.5
04330,2020,19.2
04342,2020,13.8
04343,2020,
04344,2020,15.4
04345,2020,11.8
04346,2020,20.9
04347,2020,10.2
04348,2020,11.5
04349,2020,13.3
04350,2020,2.5
04351,2020,4.6
04352,2020,6.0
04353,2020,14.8
04354,2020,6.8
04355,2020,9.3
04357,2020,15.0
04358,2020,8.3
04359,2020,5.1
04360,2020,8.2
04363,2020,11.7
04364,2020,10.9
04401,2020,16.2
04406,2020,12.7
04408,2020,2.4
04410,2020,14.6
04411,2020,17.6
04412,2020,19.5
04413,2020,25.3
04414,2020,13.8
04415,2020,37.4
04416,2020,11.8
04417,2020,16.7
04418,2020,25.3
04419,2020,7.3
04421,2020,1.9
04422,2020,15.9
04424,2020,16.3
04426,2020,23.6
04427,2020,14.4
04428,2020,12.1
04429,2020,11.3
04430,2020,19.8
04431,2020,0.0
04434,2020,24.3
04435,2020,12.0
04438,2020,13.5
04441,2020,14.0
04442,2020,15.6
04443,2020,19.6
04444,2020,5.2
04448,2020,24.2
04449,2020,19.6
04450,2020,25.5
04451,2020,24.1
04453,2020,35.2
04454,2020,0.0
04455,2020,23.4
04456,2020,5.6
04457,2020,29.3
04459,2020,31.2
04460,2020,27.4
04461,2020,27.8
04462,2020,14.8
04463,2020,23.5
04464,2020,21.9
04468,2020,18.9
04469,2020,
04471,2020,31.9
04472,2020,8.7
04473,2020,10.7
04474,2020,9.4
04475,2020,17.2
04476,2020,4.1
04478,2020,4.6
04479,2020,19.7
04481,2020,12.0
04485,2020,4.8
04487,2020,29.6
04488,2020,20.3
04489,2020,4.3
04490,2020,7.1
04491,2020,20.7
04492,2020,0.0
04493,2020,11.3
04495,2020,19.9
04496,2020,15.9
04497,2020,17.1
04530,2020,13.0
04535,2020,11.7
04537,2020,3.2
04538,2020,9.6
04539,2020,10.6
04541,2020,0.0
04543,2020,11.1
04544,2020,5.0
04547,2020,5.2
04548,2020,1.9
04551,2020,9.3
04553,2020,4.8
04554,2020,8.4
04555,2020,10.0
04556,2020,5.4
04558,2020,8.3
04562,2020,6.0
04563,2020,12.8
04564,2020,0.0
04568,2020,4.7
04570,2020,
04571,2020,2.9
04572,2020,25.4
04573,2020,6.9
04574,2020,16.7
04575,2020,0.0
04576,2020,0.0
04578,2020,7.9
04579,2020,1.9
04605,2020,13.5
04606,2020,15.4
04607,2020,16.7
04609,2020,6.6
04611,2020,21.9
04612,2020,2.6
04613,2020,0.0
04614,2020,21.7
04616,2020,0.3
04617,2020,7.3
04619,2020,21.8
04622,2020,20.4
04623,2020,19.9
04624,2020,17.1
04625,2020,0.0
04626,2020,15.9
04627,2020,6.4
04628,2020,21.7
04629,2020,
04630,2020,19.3
04631,2020,17.5
04634,2020,19.1
04635,2020,0.0
04637,2020,7.3
04640,2020,9.4
04642,2020,0.0
04643,2020,15.1
04644,2020,
04645,2020,0.0
04646,2020,15.0
04648,2020,32.3
04649,2020,26.5
04650,2020,0.0
04652,2020,23.2
04653,2020,7.3
04654,2020,23.2
04655,2020,11.2
04657,2020,3.8
04658,2020,17.8
04660,2020,1.0
04662,2020,4.5
04664,2020,15.0
04666,2020,22.1
04667,2020,23.2
04668,2020,37.9
04669,2020,11.4
04671,2020,3.4
04673,2020,4.7
04674,2020,1.9
04675,2020,18.9
04676,2020,20.6
04677,2020,3.4
04679,2020,5.4
04680,2020,3.2
04681,2020,17.8
04683,2020,0.0
04684,2020,11.7
04685,2020,4.7
04686,2020,12.5
04691,2020,6.6
04693,2020,11.7
04694,2020,27.1
04730,2020,20.9
04732,2020,19.4
04733,2020,12.4
04734,2020,11.6
04735,2020,8.6
04736,2020,21.2
04739,2020,18.3
04740,2020,8.5
04741,2020,0.0
04742,2020,16.8
04743,2020,17.4
04745,2020,15.5
04746,2020,34.2
04747,2020,16.9
04750,2020,32.5
04756,2020,19.9
04757,2020,11.1
04758,2020,19.3
04760,2020,20.2
04761,2020,15.6
04762,2020,15.2
04763,2020,20.5
04764,2020,11.1
04765,2020,17.0
04766,2020,15.5
04768,2020,19.3
04769,2020,18.3
04772,2020,14.4
04773,2020,6.6
04774,2020,13.6
04776,2020,20.2
04777,2020,31.6
04779,2020,4.4
04780,2020,11.5
04781,2020,18.4
04783,2020,9.3
04785,2020,31.9
04786,2020,21.1
04787,2020,25.9
04841,2020,15.1
04843,2020,5.9
04847,2020,12.4
04848,2020,3.9
04849,2020,8.5
04851,2020,7.7
04852,2020,4.7
04853,2020,8.3
04854,2020,6.4
04855,2020,5.0
04856,2020,8.1
04858,2020,6.7
04859,2020,0.0
04860,2020,3.7
04861,2020,15.3
04862,2020,17.8
04863,2020,3.0
04864,2020,6.7
04901,2020,18.3
04910,2020,22.7
04911,2020,28.6
04912,2020,33.3
04915,2020,14.0
04917,2020,5.4
04918,2020,0.0
04920,2020,14.7
04921,2020,23.9
04922,2020,20.4
04923,2020,19.4
04924,2020,24.4
04925,2020,0.0
04926,2020,0.0
04927,2020,14.0
04928,2020,15.6
04929,2020,31.3
04930,2020,19.1
04932,2020,12.2
04933,2020,0.0
04936,2020,0.0
04937,2020,23.5
04938,2020,18.8
04939,2020,19.7
04940,2020,
04941,2020,6.1
04942,2020,17.1
04943,2020,18.4
04944,2020,0.0
04945,2020,9.6
04947,2020,13.1
04949,2020,7.1
04950,2020,18.5
04951,2020,12.4
04952,2020,9.2
04953,2020,31.6
04955,2020,9.7
04956,2020,17.0
04957,2020,17.7
