tract_code,year,food_insecurity_rate,food_insecure_persons,unemployment_rate,percent_black,percent_hispanic,homeownership_rate,disability_rate
002200,2021,10.4,400.0,6.4,12.2,2.1,67.0,15.6
002200,2022,14.8,550.0,7.8,11.0,2.6,67.7,17.2
002200,2023,17.3,640.0,8.8,12.2,2.8,68.9,17.0
002300,2020,9.2,230.0,4.6,7.4,1.9,64.3,10.5
002300,2021,11.1,260.0,9.1,7.7,0.7,70.2,9.5
002300,2022,15.8,360.0,9.3,6.0,0.9,69.5,11.2
002300,2023,17.6,410.0,9.2,5.5,5.8,70.3,12.1
002400,2020,11.1,330.0,6.2,13.8,11.5,45.6,14.7
002400,2021,10.7,310.0,2.9,8.2,7.1,37.4,18.6
002400,2022,13.7,400.0,3.0,9.6,7.2,43.1,21.2
002400,2023,18.4,600.0,2.3,18.7,9.2,44.8,23.8
002500,2020,22.8,600.0,15.6,32.0,1.9,49.3,20.2
002500,2021,20.9,550.0,14.0,28.5,2.1,52.6,21.8
002500,2022,23.5,580.0,15.7,33.8,6.2,53.7,19.0
002500,2023,23.2,550.0,15.0,32.7,7.6,57.5,21.9
002600,2020,14.8,610.0,7.3,14.8,2.8,77.7,12.7
002600,2021,15.5,650.0,6.8,23.9,3.5,73.8,12.8
002600,2022,18.7,780.0,7.5,16.9,8.2,73.2,18.2
002600,2023,16.7,660.0,6.4,15.9,9.1,76.5,20.6
002700,2020,7.2,480.0,3.9,10.6,12.2,70.3,13.8
002700,2021,6.3,420.0,6.5,9.6,10.6,76.2,12.2
002700,2022,9.3,600.0,4.2,10.1,8.1,79.5,11.6
002700,2023,11.5,760.0,5.9,9.3,9.2,81.2,12.3
002800,2020,10.1,690.0,6.6,4.4,0.9,67.5,13.4
002800,2021,12.1,800.0,7.4,3.4,1.3,67.4,13.9
002800,2022,,,7.9,5.7,1.2,69.1,13.2
002800,2023,14.0,920.0,5.7,7.9,2.8,70.8,14.7
002900,2020,4.2,120.0,2.5,3.3,0.3,91.3,16.2
002900,2021,4.5,120.0,2.8,5.0,0.8,90.7,16.7
002900,2022,8.1,220.0,3.0,4.3,1.6,90.4,15.4
002900,2023,8.9,250.0,3.0,4.8,1.9,87.9,15.4
003000,2020,10.4,440.0,2.5,11.8,1.4,61.8,12.7
003000,2021,9.6,410.0,3.3,14.4,1.7,56.3,14.4
003000,2022,12.1,510.0,2.9,13.1,2.9,57.6,15.7
003000,2023,15.7,670.0,4.5,13.2,3.7,56.1,15.5
010101,2020,8.0,260.0,6.7,4.4,0.7,88.1,11.2
010101,2021,7.8,240.0,7.9,2.7,1.2,88.8,8.6
010101,2022,13.3,410.0,5.7,3.1,0.5,85.6,14.7
010101,2023,14.0,430.0,4.9,2.9,1.3,84.5,17.4
010103,2020,8.6,160.0,4.7,1.3,1.7,85.9,16.8
010103,2021,7.6,150.0,4.7,1.4,0.8,90.0,17.0
010103,2022,12.5,250.0,5.8,2.0,1.2,90.8,16.8
010103,2023,15.0,290.0,6.5,3.2,1.0,91.0,21.6
010104,2020,6.5,160.0,4.3,2.0,1.7,89.3,11.7
010104,2021,5.6,140.0,4.3,3.0,2.5,88.8,11.2
010104,2022,9.6,240.0,5.0,3.0,2.1,88.3,11.7
010104,2023,10.4,250.0,5.5,3.2,2.2,89.9,13.0
010107,2020,11.6,160.0,5.2,1.8,2.4,64.2,20.9
010107,2021,10.9,140.0,5.1,2.0,1.8,67.7,18.6
010107,2022,14.0,180.0,4.3,2.2,1.5,69.8,19.2
