name,address,county,state,zip,lat,lon,category,tier,store_type_raw,authorization_date,geocode_source
Santinoceto's Italian Market,304 N 3rd St,CLEARFIELD,PA,16830,41.02567,-78.43639,Convenience & Fuel,convenience,Convenience Store,6/22/2016,usda_historical_2005_2025
Sapp Bros Travel Center,15196 Clearfield Shawville Hwy,CLEARFIELD,PA,16830,41.04363,-78.39477,Convenience & Fuel,convenience,Convenience Store,7/15/2016,usda_historical_2005_2025
Save-A-Lot,200 Plaza Dr,CLEARFIELD,PA,16830,41.02924,-78.41465,Full-Service,standard,Supermarket,1/14/2022,usda_historical_2005_2025
Sheetz 63,701 E Dubois Ave,CLEARFIELD,PA,15801,41.12513,-78.74229,Convenience & Fuel,convenience,Convenience Store,8/23/1979,usda_historical_2005_2025
Sheetz 73,101 Nichols St,CLEARFIELD,PA,16830,41.0273,-78.44058,Convenience & Fuel,convenience,Convenience Store,12/12/1980,usda_historical_2005_2025
Sheetz 149,124 N Brady St,CLEARFIELD,PA,15801,41.11924,-78.76009,Convenience & Fuel,convenience,Convenience Store,8/7/1987,usda_historical_2005_2025
Sheetz 148,2120 Blinker Pkwy,CLEARFIELD,PA,15801,41.08347,-78.78347,Convenience & Fuel,convenience,Convenience Store,8/7/1987,usda_historical_2005_2025
Sheetz 252,14259 Clearfield Shawville Hwy,CLEARFIELD,PA,16830,41.03414,-78.40444,Convenience & Fuel,convenience,Convenience Store,5/21/1998,usda_historical_2005_2025
Snappy's 11,331 State St,CLEARFIELD,PA,16833,40.97496,-78.52432,Convenience & Fuel,convenience,Convenience Store,2/7/2014,usda_historical_2005_2025
Walmart Supercenter 2129,100 Supercenter Dr,CLEARFIELD,PA,16830,41.03191,-78.40234,Full-Service,standard,Super Store,1/25/1995,usda_historical_2005_2025
Walmart Supercenter 1769,20 Industrial Dr,CLEARFIELD,PA,15801,41.12766,-78.73613,Full-Service,standard,Super Store,11/6/2003,usda_historical_2005_2025
ALDI 69049,16500 Conneaut Lake Rd,CRAWFORD,PA,16335,41.62314,-80.20585,Full-Service,standard,Supermarket,8/16/2002,usda_historical_2005_2025
BUELL'S CORNERS STORE,44467 Buells Corners Rd,CRAWFORD,PA,16434,41.75213,-79.66969,Convenience & Fuel,convenience,Convenience Store,8/9/1989,usda_historical_2005_2025
Cambridge Grocery,110 Railroad St,CRAWFORD,PA,16403,41.80413,-80.05833,Convenience & Fuel,convenience,Convenience Store,12/22/2025,usda_historical_2005_2025
Country Fair 37,515 Main St,CRAWFORD,PA,16433,41.72106,-80.14825,Convenience & Fuel,convenience,Convenience Store,4/11/1979,usda_historical_2005_2025
Country Fair 58,110 W Adams St,CRAWFORD,PA,16314,41.52001,-80.04872,Convenience & Fuel,convenience,Convenience Store,4/12/1983,usda_historical_2005_2025
Country Fair 55,333 North St,CRAWFORD,PA,16335,41.64094,-80.14887,Convenience & Fuel,convenience,Convenience Store,4/21/1989,usda_historical_2005_2025
Country Fair 30,18163 Conneaut Lake Rd,CRAWFORD,PA,16335,41.62085,-80.17364,Convenience & Fuel,convenience,Convenience Store,11/21/1989,usda_historical_2005_2025
Country Fair 45,122 Penn ST,CRAWFORD,PA,16424,41.65646,-80.42518,Convenience & Fuel,convenience,Convenience Store,12/7/2001,usda_historical_2005_2025
"Crawford County Liquidation Depot, LLC",6164 US Highway 6,CRAWFORD,PA,16424,41.6566,-80.40707,Full-Service,standard,Medium Grocery Store,4/4/2024,usda_historical_2005_2025
CVS Pharmacy 5099,392 North St,CRAWFORD,PA,16335,41.63994,-80.14764,Full-Service,specialty,Combination Grocery/Other,5/12/2000,usda_historical_2005_2025
CVS PHARMACY 5097,110 E Central Ave,CRAWFORD,PA,16354,41.62745,-79.67272,Full-Service,specialty,Combination Grocery/Other,6/11/2003,usda_historical_2005_2025
DOLLAR GENERAL 2413,128 W Spring St,CRAWFORD,PA,16354,41.62652,-79.67422,Full-Service,specialty,Combination Grocery/Other,6/29/2004,usda_historical_2005_2025
DOLLAR GENERAL 4964,900 WATER ST-DOWNTOWN MALL,CRAWFORD,PA,16335,41.63869,-80.15562,Full-Service,specialty,Combination Grocery/Other,6/29/2004,usda_historical_2005_2025
DOLLAR GENERAL 2446,11102 Perry Hwy,CRAWFORD,PA,16335,41.61846,-80.2015,Full-Service,specialty,Combination Grocery/Other,6/29/2004,usda_historical_2005_2025
DOLLAR GENERAL 9470,6304 US Highway 6,CRAWFORD,PA,16424,41.65598,-80.40401,Full-Service,specialty,Combination Grocery/Other,9/22/2004,usda_historical_2005_2025
Dollar General 6560,12853 Conneaut Lake Rd,CRAWFORD,PA,16316,41.60825,-80.28086,Full-Service,specialty,Combination Grocery/Other,12/7/2004,usda_historical_2005_2025
Dollar General 6289,742 Venango Ave,CRAWFORD,PA,16403,41.79871,-80.07064,Full-Service,specialty,Combination Grocery/Other,2/7/2005,usda_historical_2005_2025
Dollar General 12873,1801 Highway 285,CRAWFORD,PA,16424,41.60547,-80.48925,Full-Service,specialty,Combination Grocery/Other,8/16/2011,usda_historical_2005_2025
Dollar General 13172,178 N Franklin St,CRAWFORD,PA,16314,41.52618,-80.05346,Full-Service,specialty,Combination Grocery/Other,10/5/2011,usda_historical_2005_2025
Dollar General 12882,533 Main St,CRAWFORD,PA,16433,41.7215,-80.14879,Full-Service,specialty,Combination Grocery/Other,10/6/2011,usda_historical_2005_2025
Dollar General 13022,1901 Main St,CRAWFORD,PA,16404,41.75024,-80.36174,Full-Service,specialty,Combination Grocery/Other,12/9/2011,usda_historical_2005_2025
Dollar General 13230,33912 Highway 408,CRAWFORD,PA,16360,41.67297,-79.87179,Full-Service,specialty,Combination Grocery/Other,9/10/2012,usda_historical_2005_2025
Dollar General 18479,24467 State Highway 8,CRAWFORD,PA,16438,41.81935,-79.80786,Full-Service,specialty,Combination Grocery/Other,10/3/2018,usda_historical_2005_2025
Dollar General 19674,12543 Reed Ave,CRAWFORD,PA,16316,41.63724,-80.31937,Full-Service,specialty,Combination Grocery/Other,1/30/2019,usda_historical_2005_2025
Dollar General 19881,7735 McHenry St,CRAWFORD,PA,16335,41.61119,-80.15269,Full-Service,specialty,Combination Grocery/Other,6/11/2019,usda_historical_2005_2025
Dollar General 19958,6278 Main St,CRAWFORD,PA,16131,41.54507,-80.37727,Full-Service,specialty,Combination Grocery/Other,6/11/2019,usda_historical_2005_2025
Dollar General 22124,155 N Main St,CRAWFORD,PA,16435,41.80456,-80.37083,Full-Service,specialty,Combination Grocery/Other,4/16/2021,usda_historical_2005_2025
Dollar General 23409,2050 W Center Rd,CRAWFORD,PA,16424,41.71315,-80.49007,Full-Service,specialty,Combination Grocery/Other,6/7/2022,usda_historical_2005_2025
Dollar General 30968,17940 Erie St,CRAWFORD,PA,16404,41.72662,-79.76054,Full-Service,specialty,Combination Grocery/Other,6/20/2025,usda_historical_2005_2025
Dollar General 31245,43194 State Highway 77,CRAWFORD,PA,16434,41.80607,-79.70057,Full-Service,specialty,Combination Grocery/Other,9/15/2025,usda_historical_2005_2025
Dollar General Store 16908,24095 State Highway 77,CRAWFORD,PA,16335,41.67297,-80.06101,Full-Service,specialty,Combination Grocery/Other,10/31/2016,usda_historical_2005_2025
Dollar Tree 5425,324 W Central Ave,CRAWFORD,PA,16354,41.6271,-79.67754,Full-Service,specialty,Combination Grocery/Other,4/22/2014,usda_historical_2005_2025
Dollar Tree 942,16039 Conneaut Lake Rd,CRAWFORD,PA,16335,41.62015,-80.21502,Full-Service,specialty,Combination Grocery/Other,4/24/2014,usda_historical_2005_2025
Dollar Tree 7464,1121 Park Ave,CRAWFORD,PA,16335,41.63249,-80.15479,Full-Service,specialty,Combination Grocery/Other,8/9/2018,usda_historical_2005_2025
Family Dollar 8809,18971 Park Avenue Plz,CRAWFORD,PA,16335,41.62261,-80.1623,Full-Service,specialty,Combination Grocery/Other,10/24/2011,usda_historical_2005_2025
Family Dollar 10772,368 Main St,CRAWFORD,PA,16434,41.82417,-79.68537,Full-Service,specialty,Combination Grocery/Other,8/6/2015,usda_historical_2005_2025
Family Dollar 12929,800 Main St,CRAWFORD,PA,16406,41.75878,-80.37051,Full-Service,specialty,Combination Grocery/Other,3/12/2024,usda_historical_2005_2025
GetGo 3288,103 S Perry St,CRAWFORD,PA,16354,41.62669,-79.67747,Convenience & Fuel,convenience,Convenience Store,6/30/2025,usda_historical_2005_2025
Giant Eagle 88,110 S Martin St,CRAWFORD,PA,16354,41.626,-79.67014,Full-Service,standard,Super Store,8/20/2010,usda_historical_2005_2025
Giant Eagle 95,175 Smock Hwy,CRAWFORD,PA,16335,41.6201,-80.16678,Full-Service,standard,Super Store,4/2/2019,usda_historical_2005_2025
Golden Dawn,450 State St,CRAWFORD,PA,16316,41.60191,-80.30711,Full-Service,standard,Supermarket,6/25/2024,usda_historical_2005_2025
Grocery Outlet Of Meadville 781,18993 Park Avenue Plz,CRAWFORD,PA,16335,41.62365,-80.16183,Full-Service,standard,Supermarket,2/14/2025,usda_historical_2005_2025
H & H Market Place,201 Main St,CRAWFORD,PA,16433,41.71477,-80.14636,Full-Service,standard,Supermarket,5/8/1975,usda_historical_2005_2025
Hawks Grocery And Smokehouse,13087 Main St,CRAWFORD,PA,16354,41.65679,-79.7289,Full-Service,standard,Medium Grocery Store,9/10/2013,usda_historical_2005_2025
Hill Top Processing,4908 Fisher Rd,CRAWFORD,PA,16406,41.78513,-80.43423,Full-Service,specialty,Combination Grocery/Other,7/22/2021,usda_historical_2005_2025
Kwik Fill 174,135 N Main St,CRAWFORD,PA,16403,41.80548,-80.05533,Convenience & Fuel,convenience,Convenience Store,7/5/1994,usda_historical_2005_2025
Kwik Fill 166,270 Main St,CRAWFORD,PA,16433,41.71608,-80.14722,Convenience & Fuel,convenience,Convenience Store,11/5/2018,usda_historical_2005_2025
Kwik Fill 393,471 North St,CRAWFORD,PA,16335,41.63968,-80.14448,Convenience & Fuel,convenience,Convenience Store,11/5/2018,usda_historical_2005_2025
Kwik Fill 200,1001 E Spring St,CRAWFORD,PA,16354,41.62641,-79.6547,Convenience & Fuel,convenience,Convenience Store,11/5/2018,usda_historical_2005_2025
Kwik Fill 304,21268 Blooming Valley Rd,CRAWFORD,PA,16335,41.65319,-80.11492,Convenience & Fuel,convenience,Convenience Store,11/5/2018,usda_historical_2005_2025
Kwik Fill 167,275 Linden St,CRAWFORD,PA,16335,41.62978,-80.15494,Convenience & Fuel,convenience,Convenience Store,11/5/2018,usda_historical_2005_2025
Lakeside Meats Inc,11025 State Highway 18,CRAWFORD,PA,16316,41.61549,-80.28886,Full-Service,specialty,Small Grocery Store,7/7/2017,usda_historical_2005_2025
"Last Stop Beverage, Inc",24339 US 322,CRAWFORD,PA,16314,41.53693,-80.07897,Convenience & Fuel,convenience,Convenience Store,12/12/2022,usda_historical_2005_2025
LINCAN FOOD MART,35733 Danner Dr,CRAWFORD,PA,16438,41.80323,-79.8402,Convenience & Fuel,convenience,Convenience Store,4/13/1998,usda_historical_2005_2025
