stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,daily_visits,first_service,last_service
896,896,Intermodal Transit Center,,42.13722229,-80.084724,,,0,,0,596,5:30 AM,12:29 PM
897,897,E Front St (Bus Shelter),,42.1359367371,-80.087349,,,0,,0,233,5:31 AM,10:56 PM
898,898,W 2nd St at UPMC Hamot (Bus Shelter),,42.1332397461,-80.087601,,,0,,0,275,6:06 AM,12:27 PM
899,899,State St opp UPMC Hamot,,42.1329574585,-80.087776,,,0,,0,259,5:32 AM,10:57 PM
90,90,Weschler Ave at W 10th St,,42.1133766174,-80.11235,,,0,,0,58,5:04 AM,11:29 PM
9001,9001,W.6th & Sassafrass,,42.1282043457,-80.088951,,,0,,0,63,5:46 AM,11:16 PM
9002,9002,W. 6th & Myrtle,,42.1273498535,-80.091339,,,0,,0,63,5:47 AM,11:17 PM
9003,9003,W. 6th & Chestnut,,42.1265258789,-80.093735,,,0,,0,63,5:47 AM,11:17 PM
9004,9004,W. 6th & Walnut,,42.125617981,-80.096138,,,0,,0,63,5:47 AM,11:18 PM
9005,9005,W. 6th & Cherry,,42.1247558594,-80.098465,,,0,,0,63,5:48 AM,11:18 PM
9006,9006,Cherry & W. 5th,,42.1255531311,-80.099091,,,0,,0,63,5:48 AM,11:19 PM
9007,9007,Cherry & W. 4th,,42.1265068054,-80.099686,,,0,,0,63,5:48 AM,11:19 PM
9008,9008,Cherry & W. 3rd,,42.1274604797,-80.100349,,,0,,0,63,5:49 AM,11:19 PM
9009,9009,Cherry & Grove,,42.1280021667,-80.100693,,,0,,0,63,5:49 AM,11:19 PM
901,901,State St at E 4th St,,42.1314201355,-80.086388,,,0,,0,87,5:33 AM,10:58 PM
9010,9010,Cherry & W. 2nd,,42.1284141541,-80.101006,,,0,,0,63,5:49 AM,11:20 PM
9011,9011,W. 2nd & Poplar,,42.1276741028,-80.103401,,,0,,0,63,5:49 AM,11:20 PM
9012,9012,W. 2nd & Liberty,,42.1271743774,-80.104752,,,0,,0,63,5:50 AM,11:20 PM
9013,9013,Libery & W. 3rd,,42.1261253357,-80.104362,,,0,,0,63,5:50 AM,11:21 PM
9014,9014,Liberty & W. 4th,,42.1251831055,-80.103745,,,0,,0,63,5:50 AM,11:21 PM
9015,9015,Liberty & W. 4th NB,,42.1251373291,-80.103424,,,0,,0,63,6:32 AM,12:14 PM
9016,9016,Liberty & W.3rd,,42.1261100769,-80.104034,,,0,,0,63,6:32 AM,12:15 PM
9017,9017,Liberty 7 W. 2nd,,42.1270675659,-80.104668,,,0,,0,63,6:33 AM,12:15 PM
9018,9018,W. 2nd & Poplar,,42.1275100708,-80.103508,,,0,,0,63,6:33 AM,12:16 PM
9019,9019,W. 2nd & Cherry,,42.1283950806,-80.101135,,,0,,0,63,6:34 AM,12:17 PM
902,902,State St at E 5th St (Bus Shelter),,42.1303787231,-80.085701,,,0,,0,275,6:03 AM,12:26 PM
9020,9020,Cherry & W.3rd,,42.1275215149,-80.100517,,,0,,0,63,6:34 AM,12:17 PM
9021,9021,Cherry & W 4th,,42.1265563965,-80.099915,,,0,,0,63,6:34 AM,12:18 PM
9022,9022,Cherry & W. 5th,,42.125579834,-80.099251,,,0,,0,63,6:35 AM,12:18 PM
9023,9023,Cherry & W. 6th,,42.124622345,-80.09861,,,0,,0,63,6:35 AM,12:19 PM
9024,9024,W. 6th & Walnut,,42.1253852844,-80.096153,,,0,,0,63,6:36 AM,12:19 PM
9025,9025,W. 6th& Myrtle,,42.1271324158,-80.0914,,,0,,0,63,6:37 AM,12:21 PM
9026,9026,W. 6th & Peach,,42.12890625,-80.086617,,,0,,0,63,6:39 AM,12:23 PM
9027,9027,Waldron Campus Center,,42.1276397705,-80.086975,,,0,,0,56,7:53 AM,10:13 PM
9028,9028,HawthorneDr & Nathan Circle(Plastikos),,42.04197,-80.09166,,,0,,0,18,7:18 AM,9:48 PM
9029,9029,Pittsburgh & W. 8th Street,,42.1091690063,-80.133369,,,0,,0,43,6:25 AM,12:07 PM
9030,9030,Pittsburgh outside Jimmy John's,,42.108581543,-80.133125,,,0,,0,43,5:57 AM,11:32 PM
9031,9031,West 8th & Opposite West Erie Plz.,,42.1089019775,-80.134544,,,0,,0,20,6:37 AM,6:54 PM
9032,9032,W.5th at Peach,,42.1297225952,-80.087929,,,0,,0,112,7:40 AM,10:18 PM
9036,9036,W 8th at Peach,,42.1265716553,-80.085434,,,0,,0,56,7:54 AM,10:14 PM
9038,9038,AMIC,,42.116781,-79.976385,,,0,,0,30,7:53 AM,7:23 PM
9039,9039,state at w 9th,,42.1261825562,-80.083702,,,0,,0,56,7:56 AM,10:16 PM
904,904,State St at Erie Community Credit Union,,42.1239509583,-80.081429,,,0,,0,427,5:58 AM,12:23 PM
9041,9041,426 @ S. WASHINGTON ST.,,42.210112,-79.827772,,,0,,0,12,5:32 AM,7:21 PM
9042,9042,426 @ LOOMIS ST.,,42.210218,-79.817539,,,0,,0,12,5:34 AM,7:23 PM
9045,9045,LOOMIS ST. @ 426,,42.210333,-79.817598,,,0,,0,12,5:36 AM,7:25 PM
9046,9046,426 @ S. WASHINGTON ST. IB,,42.210184,-79.827668,,,0,,0,12,5:38 AM,7:27 PM
9047,9047,426 @ S. LAKE ST.,,42.207783,-79.837562,,,0,,0,12,5:40 AM,7:29 PM
9048,9048,HALL AVE @ MAPLE DONUTS LAKE CITY,,42.015508,-80.351603,,,0,,0,8,7:08 AM,3:30 PM
905,905,State St at E 14th St,,42.1220321655,-80.08017,,,0,,0,451,5:57 AM,12:22 PM
9050,9050,E. 14TH & HOLLAND,,42.123198,-80.076341,,,0,,0,18,5:26 AM,10:15 PM
9059,9059,WINLANDFOODS,,42.215467,-79.818008,,,0,,0,12,5:35 AM,7:24 PM
906,906,State St opp E 16th St,,42.1199493408,-80.079117,,,0,,0,413,4:39 AM,11:08 PM
9060,9060,WEST 10TH WESTBOUND AT STATE(NWCORNER),,42.12545,-80.08304,,,0,,0,4,12:30 PM,6:04 PM
907,907,18TH & STATE,,42.1186943054,-80.078285,,,0,,0,314,5:00 AM,11:09 PM
908,908,State St at WEST SIDE 21st St,,42.1161308289,-80.076553,,,0,,0,280,4:41 AM,11:10 PM
9083,9083,SCALLYWAGS TOUR,,42.137109,-80.090343,,,0,,0,14,4:03 PM,10:33 PM
9085,9085,5TH & FRENCH,,42.1313095093,-80.084877,,,0,,0,14,4:08 PM,10:38 PM
9086,9086,ERIE INSURANCE ARENA,,42.1282234192,-80.082855,,,0,,0,14,4:10 PM,10:40 PM
9087,9087,ERIE PLAYHOUSE,,42.1250801086,-80.083939,,,0,,0,13,4:17 PM,10:47 PM
9088,9088,WARNER THEATRE,,42.1268310547,-80.083366,,,0,,0,13,4:19 PM,10:49 PM
909,909,State St at E SIDE 21st St,,42.1160125732,-80.076218,,,0,,0,233,6:32 AM,12:19 PM
9090,9090,3RD & FRENCH,,42.132916,-80.085939,,,0,,0,50,6:07 AM,5:45 PM
9091,9091,UNION CITY ESTATES,,41.893937,-79.854768,,,0,,0,14,8:51 AM,5:22 PM
9092,9092,UN.CTY.ELEMENTARY,,41.889649,-79.844363,,,0,,0,8,9:31 AM,5:22 PM
9093,9093,State St at W 8th St,,42.1275291443,-80.084053,,,0,,0,24,6:23 AM,5:03 PM
9099,9099,State St at E 9th St,,42.1268310547,-80.083366,,,0,,0,24,6:32 AM,5:12 PM
91,91,Weschler Ave at W 12th St,,42.1124687195,-80.111755,,,0,,0,58,5:04 AM,11:29 PM
910,910,State St at W 24th St,,42.1136665344,-80.074905,,,0,,0,229,4:43 AM,10:41 PM
911,911,State St at E 24th St,,42.1136169434,-80.074608,,,0,,0,231,6:31 AM,12:18 PM
9115,9115,7th & French,,42.1281051636,-80.082741,,,0,,0,806,4:35 AM,12:25 PM
912,912,State St at W 26th St,,42.1120147705,-80.073807,,,0,,0,115,4:44 AM,10:43 PM
913,913,State St at E 18th St,,42.1188583374,-80.078011,,,0,,0,326,5:55 AM,12:21 PM
914,914,E 10th St at French,,42.125995636,-80.081619,,,0,,0,198,4:55 AM,11:20 PM
915,915,French St at Parking Garage,,42.1282234192,-80.082855,,,0,,0,57,6:15 AM,10:07 PM
