geoid,county,year,NAME,total_households,under_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus
42039111900,Crawford,2021,"Census Tract 1119, Crawford County, Pennsylvania",1228,44,65,20,69,114,21,60,64,56,126,170,207,106,52,37,17
42039111900,Crawford,2022,Census Tract 1119; Crawford County; Pennsylvania,1229,44,55,33,50,81,50,23,68,62,112,203,227,115,41,46,19
42039111900,Crawford,2023,Census Tract 1119; Crawford County; Pennsylvania,1292,50,57,32,43,47,91,30,57,47,124,181,251,150,35,71,26
42039112001,Crawford,2019,"Census Tract 1120.01, Crawford County, Pennsylvania",1105,40,81,50,69,81,68,68,40,58,109,102,158,96,21,46,18
42039112001,Crawford,2020,"Census Tract 1120.01, Crawford County, Pennsylvania",1079,28,58,68,35,65,62,87,35,116,96,108,171,81,15,38,16
42039112001,Crawford,2021,"Census Tract 1120.01, Crawford County, Pennsylvania",1063,7,46,89,25,47,64,82,25,96,71,109,193,102,38,47,22
42039112001,Crawford,2022,Census Tract 1120.01; Crawford County; Pennsylvania,1072,13,36,96,42,26,63,59,30,24,127,98,226,89,69,46,28
42039112001,Crawford,2023,Census Tract 1120.01; Crawford County; Pennsylvania,1095,17,42,71,77,12,24,57,40,33,147,102,217,87,90,45,34
42039112002,Crawford,2019,"Census Tract 1120.02, Crawford County, Pennsylvania",611,31,28,20,25,67,45,33,38,46,57,64,68,18,26,17,28
42039112002,Crawford,2020,"Census Tract 1120.02, Crawford County, Pennsylvania",639,30,24,19,23,58,40,86,31,56,50,76,36,19,32,27,32
42039112002,Crawford,2021,"Census Tract 1120.02, Crawford County, Pennsylvania",622,31,19,39,20,47,37,70,19,35,66,81,54,26,40,30,8
42039112002,Crawford,2022,Census Tract 1120.02; Crawford County; Pennsylvania,628,26,22,41,21,30,35,42,76,26,54,60,84,42,10,57,2
42039112002,Crawford,2023,Census Tract 1120.02; Crawford County; Pennsylvania,627,15,33,22,39,22,16,25,95,39,45,52,54,84,9,71,6
42049000100,Erie,2019,"Census Tract 1, Erie County, Pennsylvania",1111,465,307,145,83,0,69,15,0,0,7,12,8,0,0,0,0
42049000100,Erie,2020,"Census Tract 1, Erie County, Pennsylvania",983,346,289,128,23,50,89,7,0,0,8,8,23,0,0,0,12
42049000100,Erie,2021,"Census Tract 1, Erie County, Pennsylvania",1030,296,338,107,64,79,62,15,0,7,7,8,27,0,8,0,12
42049000100,Erie,2022,Census Tract 1; Erie County; Pennsylvania,1054,101,456,94,81,64,39,61,20,0,22,16,71,0,0,17,12
42049000100,Erie,2023,Census Tract 1; Erie County; Pennsylvania,1147,109,476,115,63,48,51,59,42,0,38,31,63,0,0,40,12
42049000200,Erie,2019,"Census Tract 2, Erie County, Pennsylvania",1980,144,84,124,127,41,81,10,48,147,155,265,199,242,112,65,136
42049000200,Erie,2020,"Census Tract 2, Erie County, Pennsylvania",1910,101,80,92,133,22,94,10,41,164,152,200,261,193,148,55,164
42049000200,Erie,2021,"Census Tract 2, Erie County, Pennsylvania",1779,91,64,90,163,46,60,30,23,129,151,159,190,189,136,111,147
42049000200,Erie,2022,Census Tract 2; Erie County; Pennsylvania,1771,94,88,61,63,140,49,57,0,40,190,171,209,196,160,119,134
42049000200,Erie,2023,Census Tract 2; Erie County; Pennsylvania,1816,79,63,80,72,125,42,58,23,68,168,154,160,273,155,185,111
42049000300,Erie,2019,"Census Tract 3, Erie County, Pennsylvania",1389,72,95,67,203,122,110,129,98,50,122,79,93,55,36,25,33
42049000300,Erie,2020,"Census Tract 3, Erie County, Pennsylvania",1202,61,80,72,177,38,127,86,111,44,121,35,90,83,31,23,23
42049000300,Erie,2021,"Census Tract 3, Erie County, Pennsylvania",1255,68,131,141,146,44,58,174,50,96,104,85,67,31,21,27,12
42049000300,Erie,2022,Census Tract 3; Erie County; Pennsylvania,1289,70,108,192,101,87,60,94,109,129,67,40,43,68,11,84,26
42049000300,Erie,2023,Census Tract 3; Erie County; Pennsylvania,1305,50,148,188,114,55,56,135,74,81,134,105,57,0,30,41,37
42049000400,Erie,2019,"Census Tract 4, Erie County, Pennsylvania",935,35,22,86,79,28,35,174,153,43,160,36,12,47,11,14,0
42049000400,Erie,2020,"Census Tract 4, Erie County, Pennsylvania",916,57,50,108,33,71,22,165,130,37,147,34,4,41,7,10,0
42049000400,Erie,2021,"Census Tract 4, Erie County, Pennsylvania",814,46,50,117,36,48,65,52,124,36,41,74,69,0,29,27,0
42049000400,Erie,2022,Census Tract 4; Erie County; Pennsylvania,857,47,100,136,17,38,54,8,66,120,48,82,50,42,0,49,0
42049000400,Erie,2023,Census Tract 4; Erie County; Pennsylvania,793,64,88,86,48,38,46,33,6,54,55,152,75,26,0,12,10
42049000500,Erie,2019,"Census Tract 5, Erie County, Pennsylvania",1370,255,105,182,120,149,106,47,55,44,142,86,79,0,0,0,0
42049000500,Erie,2020,"Census Tract 5, Erie County, Pennsylvania",1222,204,96,170,95,75,108,42,70,34,156,81,79,0,12,0,0
42049000500,Erie,2021,"Census Tract 5, Erie County, Pennsylvania",1182,178,72,126,80,107,139,67,47,28,170,33,118,3,14,0,0
42049000500,Erie,2022,Census Tract 5; Erie County; Pennsylvania,1232,124,88,56,195,78,123,26,102,62,145,62,52,90,14,0,15
42049000500,Erie,2023,Census Tract 5; Erie County; Pennsylvania,1247,138,40,77,157,80,196,22,116,80,80,82,47,81,0,38,13
42049000600,Erie,2019,"Census Tract 6, Erie County, Pennsylvania",1485,216,174,150,194,93,121,53,53,27,98,66,111,62,0,30,37
42049000600,Erie,2020,"Census Tract 6, Erie County, Pennsylvania",1281,212,176,97,79,108,45,55,28,38,94,97,83,43,38,32,56
42049000600,Erie,2021,"Census Tract 6, Erie County, Pennsylvania",1239,131,120,52,95,119,5,59,62,22,114,111,121,71,51,38,68
42049000600,Erie,2022,Census Tract 6; Erie County; Pennsylvania,1257,153,159,35,85,113,41,29,67,33,50,115,159,44,81,52,41
42049000600,Erie,2023,Census Tract 6; Erie County; Pennsylvania,1199,139,54,53,57,95,53,72,53,67,43,97,215,46,68,62,25
42049000700,Erie,2019,"Census Tract 7, Erie County, Pennsylvania",898,178,63,155,112,41,103,44,34,48,15,51,12,42,0,0,0
42049000700,Erie,2020,"Census Tract 7, Erie County, Pennsylvania",887,185,65,122,98,17,92,48,31,63,14,35,14,103,0,0,0
42049000700,Erie,2021,"Census Tract 7, Erie County, Pennsylvania",890,108,128,69,87,43,138,33,20,23,43,47,59,86,0,6,0
42049000700,Erie,2022,Census Tract 7; Erie County; Pennsylvania,966,111,127,64,56,47,81,103,47,56,71,23,65,52,51,12,0
42049000700,Erie,2023,Census Tract 7; Erie County; Pennsylvania,939,98,104,80,93,30,60,91,87,53,59,4,50,13,98,8,11
42049000800,Erie,2019,"Census Tract 8, Erie County, Pennsylvania",940,177,166,156,110,67,32,42,84,44,8,30,24,0,0,0,0
42049000800,Erie,2020,"Census Tract 8, Erie County, Pennsylvania",967,176,125,150,104,57,38,69,133,32,8,8,67,0,0,0,0
42049000800,Erie,2021,"Census Tract 8, Erie County, Pennsylvania",851,132,92,158,109,61,16,50,42,70,13,22,73,13,0,0,0
42049000800,Erie,2022,Census Tract 8; Erie County; Pennsylvania,888,127,110,64,186,62,25,16,37,14,68,16,133,30,0,0,0
42049000800,Erie,2023,Census Tract 8; Erie County; Pennsylvania,769,115,60,77,108,52,25,33,32,8,66,42,98,53,0,0,0
42049000900,Erie,2019,"Census Tract 9, Erie County, Pennsylvania",1948,329,199,58,257,210,107,39,90,89,75,156,229,67,17,9,17
42049000901,Erie,2020,"Census Tract 9.01, Erie County, Pennsylvania",1265,34,251,160,134,94,28,24,50,57,63,205,81,53,13,8,10
42049000901,Erie,2021,"Census Tract 9.01, Erie County, Pennsylvania",1136,0,133,343,33,121,33,7,40,75,32,122,104,50,23,7,13
42049000901,Erie,2022,Census Tract 9.01; Erie County; Pennsylvania,1068,50,118,284,147,68,15,0,7,37,109,107,93,0,6,0,27
42049000901,Erie,2023,Census Tract 9.01; Erie County; Pennsylvania,1007,63,39,274,97,55,22,38,38,51,90,62,111,18,17,0,32
42049000902,Erie,2020,"Census Tract 9.02, Erie County, Pennsylvania",974,321,128,50,56,173,18,0,57,14,41,0,83,0,33,0,0
42049000902,Erie,2021,"Census Tract 9.02, Erie County, Pennsylvania",829,261,143,62,0,68,0,0,51,18,48,19,98,0,0,0,61
42049000902,Erie,2022,Census Tract 9.02; Erie County; Pennsylvania,777,185,126,87,65,16,28,18,0,21,51,62,44,0,0,0,74
42049000902,Erie,2023,Census Tract 9.02; Erie County; Pennsylvania,827,199,31,146,130,69,49,26,18,0,0,42,37,0,0,0,80
