tract_geoid,tract_name,county,name,address,lat,lon,primary_category,type,subtype,snap_eligible
42039111100,Census Tract 1111,Crawford,Sheetz 502,"331 W Central Ave, Titusville, PA 16354",41.62684,-79.67877,Food & Grocery,Convenience Store,Convenience Store,Yes
42039111200,Census Tract 1112,Crawford,Christian and Missionary Alliance,West Central Avenue,41.6272929,-79.682239,Civic & Social,Faith Community,Place of Worship,No
42039111200,Census Tract 1112,Crawford,House of Prayer,"Park Avenue, Titusville, PA, 16354",41.636736,-79.6842311,Civic & Social,Faith Community,Place of Worship,No
42039111200,Census Tract 1112,Crawford,Saint Titus Roman Catholic Church,"513, West Main Street, Titusville, PA, 16354",41.6278482,-79.6814059,Civic & Social,Faith Community,Place of Worship,No
42039111200,Census Tract 1112,Crawford,Titusville Healthcare & Rehabilitation,"81, East Dillon Drive, Titusville, PA, 16354",41.6375802,-79.6815721,Civic & Social,Social Services,Social Services,No
42039111200,Census Tract 1112,Crawford,Elm Street School,,41.6316066,-79.6840854,Education & Civic,School,K-12 School,No
42039111200,Census Tract 1112,Crawford,Saint Josephs High School,,41.6286702,-79.681441,Education & Civic,School,K-12 School,No
42039111200,Census Tract 1112,Crawford,Saint Titus School,,41.6285226,-79.6821371,Education & Civic,School,K-12 School,No
42039111200,Census Tract 1112,Crawford,Dollar Tree 5425,"324 W Central Ave, Titusville, PA 16354",41.6271,-79.67754,Food & Grocery,Combination Grocery/Other,Combination Grocery/Other,Yes
42039111200,Census Tract 1112,Crawford,Titusville Market Square,"101 N Franklin St, Titusville, PA 16354",41.62726,-79.67382,Food & Grocery,Convenience Store,Convenience Store,Yes
42039111200,Census Tract 1112,Crawford,Titusville Area Hospital,"406, West Oak Street, Titusville",41.6337763,-79.6798813,Health,Hospital,Acute Care Hospital,No
