ZCTA5CE20,zcta,year,area_name,county_name,median_household_income,total_population,median_age,state,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,snap_participation_rate
16322,16322,2020,Endeavor,Forest,27188.0,86,45.7,PA,16.3,0.0,,14.9,100.0,0.0,0.0,0.0,0.0,16.3,100.0,4.3
16323,16323,2020,Franklin,Venango,51135.0,15141,48.6,PA,13.6,11.2,17.2,8.8,93.2,2.5,1.1,0.4,2.8,5.5,67.1,19.2
16326,16326,2020,Fryburg,Clarion,49954.0,340,41.8,PA,2.1,11.9,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,81.7,0.0
16327,16327,2020,Guys Mills,Venango,62431.0,2813,44.1,PA,6.1,11.4,21.7,3.0,96.7,1.0,1.2,0.2,0.9,3.9,90.1,7.6
16328,16328,2020,Hydetown,Crawford,42083.0,215,22.5,PA,49.8,1.0,10.3,0.0,85.6,3.7,2.8,0.0,7.9,15.6,52.5,37.7
16329,16329,2020,Irvine,Warren,59706.0,483,48.6,PA,2.9,4.8,0.0,2.5,95.9,0.0,0.0,0.0,4.1,3.2,85.8,6.9
16331,16331,2020,Kossuth,Clarion,67969.0,49,54.2,PA,0.0,28.6,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0
16332,16332,2020,Lickingville,Clarion,183000.0,29,51.7,PA,0.0,27.8,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
16333,16333,2020,Ludlow,McKean,44750.0,269,54.5,PA,11.2,5.6,0.0,6.6,98.5,0.0,0.7,0.0,0.8,18.5,92.6,15.7
16334,16334,2020,Marble,Clarion,68571.0,330,51.3,PA,4.8,7.5,50.0,1.9,100.0,0.0,0.0,0.0,0.0,1.7,96.2,1.9
16335,16335,2020,Meadville,Crawford,49555.0,27120,43.7,PA,11.6,14.7,17.3,12.0,91.5,2.6,1.7,0.9,3.3,7.3,58.9,19.9
16340,16340,2020,Pittsfield,Warren,57969.0,1795,47.2,PA,11.8,11.5,4.5,2.6,95.7,0.0,0.6,1.7,2.0,3.4,91.0,10.4
16341,16341,2020,Pleasantville,Venango,51331.0,1617,54.3,PA,9.7,13.3,18.1,2.1,95.8,0.6,1.9,0.4,1.3,5.8,90.6,8.9
16342,16342,2020,Polk,Venango,63304.0,2202,53.1,PA,16.4,13.0,17.3,4.0,95.0,0.3,1.0,0.3,3.4,5.6,88.0,14.8
16343,16343,2020,Reno,Venango,54821.0,629,41.5,PA,10.2,27.0,0.0,0.0,95.4,2.9,0.0,1.7,-0.0,7.5,76.9,3.7
16344,16344,2020,Rouseville,Venango,48571.0,436,35.0,PA,11.0,1.8,19.8,10.3,98.6,0.0,0.9,0.0,0.5,12.7,53.4,38.5
16345,16345,2020,Russell,Warren,80337.0,3436,50.3,PA,4.4,14.0,10.9,1.5,95.3,0.3,1.8,0.9,1.7,2.9,92.1,4.6
16346,16346,2020,Seneca,Venango,52304.0,3615,46.7,PA,14.5,18.0,18.8,8.6,96.7,0.4,1.1,1.1,0.7,8.2,63.2,22.5
16347,16347,2020,Sheffield,Elk,41679.0,2007,44.7,PA,20.9,18.5,19.0,4.1,95.6,0.8,2.8,0.0,0.8,3.8,81.6,12.0
16350,16350,2020,Sugar Grove,Warren,47617.0,2385,38.8,PA,24.9,8.8,14.9,10.0,96.9,0.2,0.1,0.0,2.8,5.2,81.6,12.4
16351,16351,2020,Tidioute,Forest,40801.0,1521,51.5,PA,13.2,7.9,8.3,9.7,92.9,0.4,3.7,0.9,2.1,5.9,76.8,25.9
16352,16352,2020,Tiona,Warren,59375.0,189,48.5,PA,11.6,3.9,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,88.0,8.0
16353,16353,2020,Tionesta,Clarion,45270.0,2976,56.3,PA,20.8,9.3,6.5,6.2,99.5,0.0,0.1,0.1,0.3,6.2,83.0,18.1
16354,16354,2020,Titusville,Venango,44321.0,10819,42.8,PA,20.3,8.7,15.5,10.7,96.9,1.2,1.0,0.5,0.4,6.8,69.2,23.1
16360,16360,2020,Townville,Crawford,50556.0,1387,43.8,PA,17.7,20.1,3.3,2.4,95.0,0.1,0.3,0.0,4.6,5.3,74.5,12.3
16361,16361,2020,Tylersburg,Clarion,,11,,PA,0.0,0.0,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
16362,16362,2020,Utica,Venango,58750.0,863,54.3,PA,9.6,14.2,2.0,3.3,97.5,0.6,0.5,0.0,1.4,9.1,87.2,15.6
16364,16364,2020,Venus,Clarion,63542.0,1260,46.3,PA,10.0,12.5,0.0,5.1,99.0,0.0,0.5,0.0,0.5,1.7,81.3,8.4
16365,16365,2020,Warren,McKean,51091.0,17675,48.6,PA,11.4,15.0,12.2,7.3,96.4,0.8,0.8,0.4,1.6,3.8,70.6,14.0
16370,16370,2020,West Hickory,Forest,42188.0,271,61.6,PA,14.8,7.1,20.8,1.4,100.0,0.0,0.0,0.0,0.0,0.0,83.4,13.8
16371,16371,2020,Youngsville,Warren,46552.0,3347,45.2,PA,13.1,12.9,24.5,12.7,92.3,0.5,1.1,0.1,6.0,7.0,72.8,14.3
16372,16372,2020,Clintonville,Venango,43750.0,546,41.3,PA,16.2,11.1,1.3,12.0,94.7,0.0,0.0,2.6,2.7,14.0,68.2,16.5
