agency_name,agency_ref,county,program_type,first_month,last_month,total_individuals_served,months_reported
BP - Grover Cleveland - SHBP,02112,Erie,BackPacks,2024-07-31,2025-05-31,0.0,9
BP - Harding Elementary - SHBP,02027,Erie,BackPacks,2024-07-31,2025-05-31,0.0,9
BP - Iroquois Elementary - SHBP,02102,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Jefferson Elementary - SHBP,02029,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Joanna Connell Elementary - SHBP,02030,Erie,BackPacks,2024-10-31,2025-05-31,0.0,7
BP - Lincoln Elementary - SHBP,02031,Erie,BackPacks,2024-07-31,2025-05-31,0.0,9
BP - McKinley School - SHBP,02022,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Mill Village Elementary - SHBP,02074,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - North East Elementary Center - SHBP,02105,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Northwestern Elementary - SHBP,02100,Erie,BackPacks,2024-07-31,2025-05-31,0.0,10
BP - Perry Elementary - SHBP,02033,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Pfeiffer Burleigh - SHBP,02034,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Robert Benjamin Wiley - SHBP,02056,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Robison Elementary - SHBP,02072,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Sarah Reed - SHBP,02055,Erie,BackPacks,2024-07-31,2025-05-31,0.0,10
BP - Springfield Elementary - SHBP,02057,Erie,BackPacks,2024-07-31,2025-05-31,0.0,10
BP - Tracy Elementary - SHBP,02078,Erie,BackPacks,2024-07-31,2025-05-31,0.0,10
BP - Union City Elementary - SHBP,02111,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
BP - Waterford Elementary - SHBP,02073,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
Bethany Outreach - FP,01521,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,10392.0,11
Blessed Sacrament - FP,01009,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,1710.0,12
CSFP - DOOR DASH ERIE COUNTY,11209,Erie,Original,2024-10-31,2024-10-31,0.0,1
Cathedral of St Paul - FP,01278,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,2859.0,12
Christian Cupboard - FP,01052,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,3749.0,12
Church of the Nativity - FP,01474,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,681.0,12
Clark Elementary - SCHOOL PANTRY,09765,Erie,BackPacks,2024-10-31,2025-05-31,0.0,8
Community of Caring - FP,01021,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,1744.0,11
Community of Caring Diabetic - FP,01266,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,367.0,11
Cornerstone Erie Liberty Community Church - FP,01696,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,1166.0,12
Corry - SHFB MOBILE,10700,Erie,Produce Express,2024-07-31,2025-06-30,2246.0,11
Corry Area - FP,01027,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,4674.0,12
Corry Area High School - SCHOOL PANTRY,09756,Erie,School Pantry,2024-10-31,2025-05-31,0.0,8
Door Dash - SHFB,10715,Erie,Produce Express,2024-07-31,2025-06-30,1572.0,12
East Middle School - SCHOOL PANTRY,09753,Erie,School Pantry,2024-10-31,2025-05-31,0.0,8
Eastbrook Apartments - SHFB MOBILE,10710,Erie,Produce Express,2024-07-31,2025-05-31,2830.0,9
Eastminster Church - SHFB MOBILE,10800,Erie,Produce Express,2024-07-31,2025-06-30,3283.0,11
Edinboro Emergency - FP,01030,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,9664.0,12
Elk Valley - SCHOOL PANTRY,09766,Erie,School Pantry,2024-07-31,2025-05-31,0.0,10
Ella Cochran,01084,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,4369.0,12
Elmwood Avenue Presbyterian Church - FP,01654,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,1369.0,12
Emergency Food Box Donations,12008,Erie,Food Pantry/TEFAP,2024-08-31,2025-01-31,271.0,6
Emmaus Ministries - FP,01031,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,15784.0,12
Emmaus Ministries Kids Cafe - SK,03493,Erie,Kids Cafe,2024-12-31,2024-12-31,7.0,1
Erie - Military Share,10086,Erie,Produce Express,2024-07-31,2025-06-30,1827.0,11
Erie High School - SCHOOL PANTRY,09750,Erie,School Pantry,2024-10-31,2025-05-31,0.0,8
