geoid,county,year,NAME,total_households,hh_bottom,hh_middle,hh_top,share_bottom,share_middle,share_top,under_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus,share_under_10k,share_10k_15k,share_15k_20k,share_20k_25k,share_25k_30k,share_30k_35k,share_35k_40k,share_40k_45k,share_45k_50k,share_50k_60k,share_60k_75k,share_75k_100k,share_100k_125k,share_125k_150k,share_150k_200k,share_200k_plus
42039111200,Crawford,2020,"Census Tract 1112, Crawford County, Pennsylvania",856,337,305,214,39.37,35.63,25.0,73,28,22,71,67,76,69,44,30,95,67,121,24,28,25,16,8.53,3.27,2.57,8.29,7.83,8.88,8.06,5.14,3.5,11.1,7.83,14.14,2.8,3.27,2.92,1.87
42039111200,Crawford,2021,"Census Tract 1112, Crawford County, Pennsylvania",903,306,400,197,33.89,44.3,21.82,66,35,29,64,59,53,79,73,39,102,107,110,14,42,31,0,7.31,3.88,3.21,7.09,6.53,5.87,8.75,8.08,4.32,11.3,11.85,12.18,1.55,4.65,3.43,0.0
42039111200,Crawford,2022,Census Tract 1112; Crawford County; Pennsylvania,895,301,359,235,33.63,40.11,26.26,40,92,53,24,47,45,59,59,60,53,128,98,50,45,37,5,4.47,10.28,5.92,2.68,5.25,5.03,6.59,6.59,6.7,5.92,14.3,10.95,5.59,5.03,4.13,0.56
42039111200,Crawford,2023,Census Tract 1112; Crawford County; Pennsylvania,932,297,377,258,31.87,40.45,27.68,36,79,59,29,39,55,34,46,70,82,145,129,33,32,43,21,3.86,8.48,6.33,3.11,4.18,5.9,3.65,4.94,7.51,8.8,15.56,13.84,3.54,3.43,4.61,2.25
42039111300,Crawford,2019,"Census Tract 1113, Crawford County, Pennsylvania",2206,560,874,772,25.39,39.62,35.0,54,70,90,125,113,108,129,87,101,217,340,345,232,114,52,29,2.45,3.17,4.08,5.67,5.12,4.9,5.85,3.94,4.58,9.84,15.41,15.64,10.52,5.17,2.36,1.31
42039111300,Crawford,2020,"Census Tract 1113, Crawford County, Pennsylvania",2255,609,844,802,27.01,37.43,35.57,60,52,68,113,132,184,129,78,116,226,295,393,235,97,47,30,2.66,2.31,3.02,5.01,5.85,8.16,5.72,3.46,5.14,10.02,13.08,17.43,10.42,4.3,2.08,1.33
42039111300,Crawford,2021,"Census Tract 1113, Crawford County, Pennsylvania",2119,526,767,826,24.82,36.2,38.98,53,40,54,90,104,185,123,76,71,220,277,355,228,139,66,38,2.5,1.89,2.55,4.25,4.91,8.73,5.8,3.59,3.35,10.38,13.07,16.75,10.76,6.56,3.11,1.79
42039111300,Crawford,2022,Census Tract 1113; Crawford County; Pennsylvania,2169,465,771,933,21.44,35.55,43.02,55,38,57,63,104,148,161,73,75,220,242,378,251,123,131,50,2.54,1.75,2.63,2.9,4.79,6.82,7.42,3.37,3.46,10.14,11.16,17.43,11.57,5.67,6.04,2.31
42039111300,Crawford,2023,Census Tract 1113; Crawford County; Pennsylvania,2227,481,755,991,21.6,33.9,44.5,64,44,72,79,85,137,193,86,71,157,248,375,239,150,129,98,2.87,1.98,3.23,3.55,3.82,6.15,8.67,3.86,3.19,7.05,11.14,16.84,10.73,6.74,5.79,4.4
42039111400,Crawford,2019,"Census Tract 1114, Crawford County, Pennsylvania",1951,450,665,836,23.07,34.09,42.85,47,76,58,180,89,0,155,69,93,201,147,397,133,134,96,76,2.41,3.9,2.97,9.23,4.56,0.0,7.94,3.54,4.77,10.3,7.53,20.35,6.82,6.87,4.92,3.9
42039111400,Crawford,2020,"Census Tract 1114, Crawford County, Pennsylvania",2079,573,642,864,27.56,30.88,41.56,52,70,60,280,98,13,101,177,68,96,200,360,232,133,64,75,2.5,3.37,2.89,13.47,4.71,0.63,4.86,8.51,3.27,4.62,9.62,17.32,11.16,6.4,3.08,3.61
42039111400,Crawford,2021,"Census Tract 1114, Crawford County, Pennsylvania",1943,515,446,982,26.51,22.95,50.54,36,65,57,179,161,17,71,15,139,122,99,392,274,96,74,146,1.85,3.35,2.93,9.21,8.29,0.87,3.65,0.77,7.15,6.28,5.1,20.17,14.1,4.94,3.81,7.51
42039111400,Crawford,2022,Census Tract 1114; Crawford County; Pennsylvania,1967,487,472,1008,24.76,24.0,51.25,41,60,36,178,135,37,36,83,24,190,139,415,185,156,136,116,2.08,3.05,1.83,9.05,6.86,1.88,1.83,4.22,1.22,9.66,7.07,21.1,9.41,7.93,6.91,5.9
42039111400,Crawford,2023,Census Tract 1114; Crawford County; Pennsylvania,1999,497,551,951,24.86,27.56,47.57,75,40,73,28,222,59,33,58,83,194,183,397,177,149,113,115,3.75,2.0,3.65,1.4,11.11,2.95,1.65,2.9,4.15,9.7,9.15,19.86,8.85,7.45,5.65,5.75
42039111500,Crawford,2019,"Census Tract 1115, Crawford County, Pennsylvania",2367,1080,612,675,45.63,25.86,28.52,208,223,147,230,146,126,72,107,74,149,210,380,107,88,71,29,8.79,9.42,6.21,9.72,6.17,5.32,3.04,4.52,3.13,6.29,8.87,16.05,4.52,3.72,3.0,1.23
42039111500,Crawford,2020,"Census Tract 1115, Crawford County, Pennsylvania",2335,894,687,754,38.29,29.42,32.29,136,169,161,156,91,181,83,144,92,195,173,352,203,81,88,30,5.82,7.24,6.9,6.68,3.9,7.75,3.55,6.17,3.94,8.35,7.41,15.07,8.69,3.47,3.77,1.28
42039111500,Crawford,2021,"Census Tract 1115, Crawford County, Pennsylvania",2178,937,600,641,43.02,27.55,29.43,221,193,127,175,78,143,58,112,62,198,170,286,163,75,57,60,10.15,8.86,5.83,8.03,3.58,6.57,2.66,5.14,2.85,9.09,7.81,13.13,7.48,3.44,2.62,2.75
