TRACTCE,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_full_m,nearest_grocery_full_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles
000600,0,0,0,0,0,0,0,2,1,0,0,0,3,2,2,0,2,13,930.867719800855,0.58,330.30488192146163,0.21,3452.6425416701763,2.15,1565.1105372379545,0.97,2988.947982583571,1.86,851.6736729679076,0.53,215.20662487847602,0.13
000700,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,2,3,8,403.0217226701828,0.25,873.6889987302806,0.54,1715.3212091491741,1.07,452.3324092861478,0.28,1729.5739776858286,1.07,1006.3886296116841,0.63,815.2262799628542,0.51
000800,0,0,1,1,2,0,0,2,1,0,2,0,1,1,0,4,6,16,82.35928653006788,0.05,389.78205186936424,0.24,1036.0211801130283,0.64,89.49485984301222,0.06,1118.4011532094007,0.69,292.11931991105945,0.18,686.5006306273846,0.43
001000,0,0,0,0,1,0,0,1,1,1,0,0,5,0,1,1,2,12,701.9392178401839,0.44,724.900278381125,0.45,1398.1233459290268,0.87,1012.9861098946994,0.63,1636.925137070484,1.02,1259.6067039419736,0.78,570.5967688304969,0.35
001100,0,0,0,0,3,0,0,0,0,0,3,0,1,0,1,3,3,11,760.4341271241399,0.47,1822.4773275895377,1.13,1097.5219923999298,0.68,767.3233217265001,0.48,2279.7629334770013,1.42,1140.973140574013,0.71,636.8127190633954,0.4
001300,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,3,9,313.4867523788928,0.19,651.8642476459232,0.41,1383.251666939597,0.86,627.0527712335845,0.39,1652.977074035692,1.03,912.7838110970863,0.57,399.2076946267109,0.25
001400,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,397.19440666204594,0.25,728.8856305870402,0.45,2034.5533673451603,1.26,863.1638310316217,0.54,2045.693315237434,1.27,1131.5944593476024,0.7,1095.3735090690316,0.68
001500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,11,820.4580574240745,0.51,1384.00611812499,0.86,3781.22171701774,2.35,1900.3968006594228,1.18,3160.211484233598,1.96,747.6393688510445,0.46,1245.6506778837188,0.77
001600,1,0,1,0,2,0,0,4,0,0,0,0,1,0,0,4,8,12,900.7428323936037,0.56,2468.0844107375888,1.53,4304.803156498066,2.67,1022.3127510348072,0.64,2896.522196478059,1.8,806.7766449765508,0.5,1284.5265937002725,0.8
001700,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,4,4,7,265.2122827192796,0.16,1539.94363949947,0.96,2268.6462611296347,1.41,1117.8533608210746,0.69,1747.3671201027803,1.09,2019.6494193895687,1.25,357.20019305861086,0.22
001800,0,0,1,1,3,0,0,2,0,0,0,0,0,0,2,5,9,20,190.2798216306187,0.12,1249.9643291892403,0.78,1074.6155909023666,0.67,406.7146866421432,0.25,1716.2897744262489,1.07,855.4990848603634,0.53,243.6596942243683,0.15
010301,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,2,13,1696.628425747897,1.05,8716.787342004543,5.42,8835.919607730333,5.49,6844.952050141227,4.25,8806.230186846456,5.47,6710.067006857885,4.17,7529.4387647616,4.68
002300,1,0,0,0,3,0,0,2,1,0,4,0,1,0,0,4,6,17,120.30767869826563,0.07,628.6119180189346,0.39,1180.2716075757032,0.73,152.86326569120678,0.09,2704.0193165833884,1.68,1194.1836414459463,0.74,1023.696408707711,0.64
011701,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,1,2,9,2108.262793236254,1.31,2079.189926396543,1.29,23565.233156612125,14.64,1183.030074297674,0.74,1726.554725070938,1.07,17022.348104810353,10.58,1497.753038893637,0.93
010107,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,2,9,149.2746300716922,0.09,12780.269216713861,7.94,27035.7516709258,16.8,218.24491229732567,0.14,292.4077396987743,0.18,142.09391169972884,0.09,7.000139414797764,0.0
011202,5,0,0,0,2,0,0,9,0,0,7,0,4,1,1,7,17,37,3109.7991354665355,1.93,5050.815606791289,3.14,5218.337209766136,3.24,1525.0307889421515,0.95,5640.181178094424,3.5,3067.978297544805,1.91,717.6109715018952,0.45
